dataset_name,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
soybean-small,7,"3,5",6,8,5,"3,5",1,2
spambase,6,7,2,8,5,4,1,3
splice,1,"7,5","5,5","7,5",4,"5,5",2,3
svhn,4,5,2,6,3,"7,5",1,"7,5"
tecator,"2,5","2,5","6,5",8,"6,5",5,1,4
thoracic-surgery1,2,5,7,4,8,6,1,3
thoracic-surgery2,"5,5",4,8,3,"5,5",7,2,1
triazines,2,7,3,8,"4,5","4,5",1,6
vehicle,2,8,5,7,"3,5",6,1,"3,5"
waveform-noise,6,"3,5",5,"3,5",7,8,1,2
waveform,5,2,6,3,7,8,1,4
wdbc,1,7,3,6,5,8,2,4
winequality,4,7,"2,5",6,8,5,1,"2,5"
wisc,3,7,5,8,4,6,1,2
wpbc,3,8,4,7,"1,5",6,"1,5",5
yeast,3,7,4,5,6,8,1,2
zcell237,3,8,"5,5","5,5",7,4,2,1
zoo,"3,5",7,6,8,2,5,1,"3,5"
,"3,735","6,545","4,359","6,888","3,914","6,255","1,285","3,019"
,3,7,5,8,4,6,1,2
