BD,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
base_3_3_10,0.7574572923350783,0.7659190720465003,0.7657089471721786,0.7691575728452134,0.7604758975105118,0.6889715592652108,0.7072944095060134,0.6738008740534827
base_3_4_10,0.7604803968064829,0.7450483725706598,0.7512972060065124,0.7609610926036103,0.7592068426620749,0.7416585660040613,0.7112851192996056,0.6771224802498781
base_3_5_10,0.7199183903688371,0.7053123557047938,0.7411668802881883,0.7042237754298918,0.7144100376913488,0.6821306352987178,0.6825916189513985,0.6585409535531521
base_3_6_10,0.7544581838862141,0.7529958921297386,0.7584379256587821,0.7505532268185643,0.7541843119658538,0.7363857509333969,0.7150111273574342,0.7393756676472236
base_3_7_10,0.7102671703028782,0.7020790568411401,0.723573317222402,0.6877356577303123,0.716663464898732,0.6704481388874293,0.7009771590484124,0.6695969057092704
base_3_8_10,0.7077431329779941,0.6880412947608364,0.7153620639675207,0.6956470165841819,0.7153325127311354,0.6848853705312836,0.6896375237895157,0.6319259912084488
base_3_9_10,0.733876960255086,0.6941376046761937,0.7313229827230285,0.695763301772133,0.7266079327450131,0.7237938725645392,0.7047305503656345,0.6634197548909901
base_4_10_10,0.6288195677122552,0.6358373624512433,0.6334878790797248,0.6280710895257652,0.6358230361082344,0.628407100864591,0.6186094969764105,0.595974301451811
base_4_2_10,0.7348829285449495,0.7434012002785382,0.7459997621131913,0.7469669496991296,0.7341506705008414,0.6511320572944583,0.6769745313868921,0.6175926796363231
base_4_3_10,0.7146452139138033,0.6729614383380568,0.7055580796712221,0.7175816027621122,0.7087555257660128,0.6639522874140759,0.6549766519012493,0.6492254928585833
base_4_4_10,0.7158440932447295,0.6779525761749412,0.7262330011509792,0.7180768158349913,0.7179228523078838,0.6597452026838875,0.6832754966119248,0.645536832082189
base_4_5_10,0.6899588000624538,0.6454604911969141,0.7028662510334144,0.6722156944427591,0.6874162507179509,0.6428050723000596,0.6403637968508467,0.5988941596530254
base_4_6_10,0.7533266528394241,0.762820343245542,0.7657657347754399,0.7638245838991992,0.764061549110924,0.7432827960329899,0.7201843682222295,0.688913353336004
base_4_7_10,0.6428447037102147,0.6546855984503306,0.6475392979234306,0.6518724176273232,0.6547131951285675,0.6119922713348687,0.6260484444356473,0.605894650472778
base_4_8_10,0.7737282303027253,0.7244195236599478,0.7704222703466767,0.755169226866488,0.7797526128805439,0.7467248078074663,0.7035837578826227,0.6690758441570048
base_4_9_10,0.6424415078724567,0.6386219128838679,0.6542150581190651,0.6574046607649011,0.6465042066501999,0.6243140596850477,0.6377926107676724,0.6135204089153776
base_5_10_10,0.6909784313059673,0.6734165624384489,0.6867832599733821,0.6874016881187102,0.6934026773555991,0.676307691441115,0.6776882115687395,0.6314301058057338
